id,start_date,end_date,guest_id,total
1,2020-10-13,2020-10-17,643,720.0
2,2021-05-09,2021-05-16,841,1350.0
3,2020-11-12,2020-11-15,556,585.0
4,2020-07-26,2020-08-02,239,1350.0
5,2021-06-09,2021-06-12,802,540.0
6,2020-09-12,2020-09-19,529,1350.0
7,2020-10-29,2020-11-03,292,990.0
8,2020-12-22,2020-12-28,98,1170.0
9,2021-04-29,2021-05-01,116,360.0
10,2020-12-28,2021-01-02,773,900.0
11,2021-03-06,2021-03-12,156,1170.0
12,2021-07-11,2021-07-12,1000,225.0
13,2020-11-22,2020-11-24,656,405.0
14,2021-12-01,2021-12-02,889,0.0
